Agency Name,State Name [District] Latest available year,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,State Agency ID [District] 2016-17
HADDON TOWNSHIP SCHOOL DISTRICT,New Jersey,HADDON TOWNSHIP SCHOOL DISTRICT,3406360,NJ-071890
HADDONFIELD SCHOOL DISTRICT,New Jersey,HADDONFIELD SCHOOL DISTRICT,3406390,NJ-071900
HAINESPORT TOWNSHIP SCHOOL DISTRICT,New Jersey,Hainesport Township School District,3406420,NJ-051910
HALEDON PUBLIC SCHOOL DISTRICT,New Jersey,Haledon Public School District,3406450,NJ-311920
HAMBURG SCHOOL DISTRICT,New Jersey,Hamburg School District,3406480,NJ-371930
HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Hamilton Township Public School District,3406540,NJ-211950
HAMILTON TOWNSHIP SCHOOL DISTRICT,New Jersey,HAMILTON TOWNSHIP SCHOOL DISTRICT,3406510,NJ-011940
HAMMONTON SCHOOL DISTRICT,New Jersey,Hammonton School District,3406570,NJ-011960
HAMPTON BOROUGH SCHOOL DISTRICT,New Jersey,HAMPTON BOROUGH SCHOOL DISTRICT,3406600,NJ-191970
HAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,HAMPTON TOWNSHIP SCHOOL DISTRICT,3406630,NJ-371980
